url,title,publication_authors,year,Marcos,Sara,Martial Law,Opinion
https://www.rappler.com/philippines/marcos-updates-list-priority-measures-ledac-divorce-sogie-bills-excluded-june-2024/,"Divorce, SOGIE still excluded from Marcos’ updated list of priority measures",Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/mindanao/sara-duterte-downplays-opposition-role-thinks-still-friends-with-marcos/,"Sara Duterte downplays opposition role, thinks she’s still friends with Marcos",Franck Dick Rosete,2024,True,True,False,False
https://www.rappler.com/voices/opinion-genuine-ilokano-reflections-marcos-loyalism/,[OPINION] A genuine Ilokano’s reflections on Marcos loyalism,Roderick Guerrero Galam,2022,True,False,False,True
https://www.rappler.com/newsbreak/iq/stories-tracking-marcos-disinformation-propaganda-machinery/,Tracking the Marcos disinformation and propaganda machinery,Loreben Tuquero,2022,True,False,False,False
https://www.rappler.com/newsbreak/iq/stories-tracking-marcos-disinformation-propaganda-machinery/,Tracking the Marcos disinformation and propaganda machinery,Loreben Tuquero,2022,True,False,False,False
https://www.rappler.com/philippines/marcos-approves-gradual-return-old-school-calendar-may-2024/,Marcos OKs Philippines’ gradual return to old academic calendar,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/bongbong-marcos-evades-millions-dollars-contempt-judgment-united-states/,Marcos Jr. continues to evade $353-million contempt judgment of US court,Lian Buan,2022,True,False,False,False
https://www.rappler.com/philippines/marcos-reaction-sara-duterte-resignation-cabinet-impact-uniteam-june-2024/,Marcos downplays impact of Sara Duterte’s Cabinet exit on Uniteam coalition,Dwight de Leon,2024,True,True,False,False
https://www.rappler.com/newsbreak/iq/breakdown-billions-recovered-marcos-ill-gotten-wealth-by-pcgg-more-to-get/,"BREAKDOWN: P174B recovered from Marcos loot, P125B more to get",Lian Buan,2021,True,False,False,False
https://www.rappler.com/philippines/bongbong-marcos-cambridge-analytica-rebrand-family-image/,Bongbong Marcos asked Cambridge Analytica to ‘rebrand’ family image,Sofia Tomacruz,2020,True,False,False,False
https://www.rappler.com/voices/thought-leaders/opinion-sheila-coronel-on-fathers-daughters-marcos-family-and-mine/,"[OPINION] Sheila Coronel on fathers, daughters, the Marcos family and ‘mine’",Sheila Coronel,2022,True,False,False,True
https://www.rappler.com/philippines/malacanang-flags-deepfake-audio-marcos-ordering-military-attack-april-2024/,Malacañang flags deepfake audio of Marcos ordering military attack,Bea Cupin,2024,True,False,False,False
https://www.rappler.com/voices/thought-leaders/opinion-leila-de-lima-hope-ferdinand-marcos-jr-presidency-end-suppression-dissent/,[OPINION] My hope for the Marcos presidency: An end to suppression of dissent,Leila de Lima,2022,True,False,False,True
https://www.rappler.com/philippines/marcos-jr-asserts-charter-change-limited-economic-reforms-nothing-more/,"Marcos: Charter change only about economic reforms, ‘nothing more’",Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/marcos-open-economic-charter-change-january-2024/,Marcos now open to amending economic provisions of 1987 Constitution,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/elections/ferdinand-bongbong-marcos-jr-never-saw-gold-told-court-source-wealth/,"If Marcos never saw gold, why tell court gold was their source of wealth?",Lian Buan,2022,True,False,False,False
https://www.rappler.com/philippines/elections/ferdinand-bongbong-marcos-jr-wins-president-philippines-may-2022/,"36 years after ousting Marcos, Filipinos elect son as president",Lian Buan,2022,True,False,False,False
https://www.rappler.com/philippines/marcos-rejects-proposal-use-water-cannon-against-china-west-sea/,Marcos says Philippines will not use water cannon vs Chinese ships,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/newsbreak/inside-track/how-rift-between-liza-marcos-sara-duterte-began-rodrigo-bangag-comment-bongbong/,"It all started with ‘bangag’: How rift between Liza Marcos, Sara Duterte began",Dwight de Leon,2024,True,True,False,False
https://www.rappler.com/philippines/marcos-grants-amnesty-rebel-groups-cpp-milf-mnlf/,Marcos grants amnesty to rebels,Jairo Bolledo,2023,True,False,False,False
https://www.rappler.com/newsbreak/iq/everything-to-know-news-context-sara-duterte-resignation-marcos-jr-cabinet/,Everything you need to know about Sara Duterte’s resignation from the Marcos Cabinet,Rappler.com,2024,True,True,False,False
https://www.rappler.com/philippines/marcos-duterte-approval-ratings-drop-double-digits-pulse-asia-september-2023/,"Marcos, Duterte approval scores tumble in September – Pulse Asia",Dwight de Leon,2023,True,False,False,False
https://www.rappler.com/newsbreak/in-depth/marcos-jr-platitudes-media-relationship-first-year/,"Marcos and the media: Platitudes, but what else again?",Gelo Gonzales,2023,True,False,False,False
https://www.rappler.com/philippines/sara-duterte-response-liza-araneta-marcos-tirades-april-2024/,Sara Duterte to Liza Marcos: Your feelings have nothing to do with my duties as VP,Bonz Magsambol,2024,True,True,False,False
https://www.rappler.com/newsbreak/iq/timeline-sara-duterte-marcos-jr-cabinet-resignation/,"TIMELINE: Sara Duterte, from Marcos Cabinet to resignation",Jodesz Gavilan,2024,True,True,False,False
https://www.rappler.com/philippines/marcos-laments-poor-showing-asia-university-rankings-2024/,Marcos laments Philippine universities’ exclusion from Asia top 100 ranking,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/newsbreak/in-depth/ferdinand-marcos-jr-plays-catch-up-fight-west-philippine-sea-after-duterte-administration/,"After Duterte, Marcos plays catch up in fight for West Philippine Sea",Sofia Tomacruz,2023,True,False,False,False
https://www.rappler.com/philippines/ukraine-zelenskyy-meets-marcos-jr-manila-june-2024/,"Ukraine’s Zelenskyy in Manila, meets Philippines’ Marcos for the first time",Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/newsbreak/in-depth/158400-politics-coco-levy-marcos-noynoy-aquino/,The politics of the coco levy scam: From Marcos to Noynoy Aquino,Camille Elemia,2017,True,False,False,False
https://www.rappler.com/voices/imho/124682-marcos-economy-golden-age-philippines/,Marcos years marked ‘golden age’ of PH economy? Look at the data,"JC Punongbayan, Kevin Mandrilla",2016,True,False,False,False
https://www.rappler.com/philippines/marcos-signs-ecosystem-natural-capital-accounting-system-law-may-2024/,Marcos signs law seeking to measure Philippines’ natural resources,Iya Gozum,2024,True,False,False,False
https://www.rappler.com/newsbreak/in-depth/liza-araneta-marcos-first-lady-philippines/,"Liza Araneta Marcos, First Lady of the Philippines","Bea Cupin,Chay F. Hofileña",2023,True,False,False,False
https://www.rappler.com/philippines/sara-duterte-appeal-marcos-jr-reconsider-resumption-peace-talks-communist-rebels/,Sara Duterte tells Marcos: Return to peace talks ‘an agreement with the devil’,Bonz Magsambol,2023,True,True,False,False
https://www.rappler.com/newsbreak/inside-track/ferdinand-marcos-jr-warns-against-overreactions-west-philippine-sea/,"‘Careful,’ Marcos warns against overreactions in West Philippine Sea",Bea Cupin,2023,True,False,False,False
https://www.rappler.com/philippines/elections/records-bongbong-marcos-1997-tax-conviction-hounds-presidential-campaign-2022-polls/,RECORDS: Bongbong Marcos’ 1997 tax conviction hounds him in 2022 campaign,Lian Buan,2021,True,False,False,False
https://www.rappler.com/philippines/marcos-tells-chinese-general-south-china-sea-peace-world-issue/,Marcos tells Chinese general: South China Sea peace a ‘world issue’,Bea Cupin,2024,True,False,False,False
https://www.rappler.com/newsbreak/inside-track/have-marcos-jr-cabinet-memorized-bagong-pilipinas-hymn-pledge/,Have Marcos and his Cabinet memorized the Bagong Pilipinas hymn and pledge?,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/elections/marcos-jr-massive-overseas-filipinos-backing-2022/,Why Marcos Jr. gets massive OFW backing despite father’s labor export policy,Michelle Abad,2022,True,False,False,False
https://www.rappler.com/philippines/marcos-death-filipino-serviceman-foreign-attack-triggers-mutual-defense-treaty-united-states/,Marcos: Death of PH serviceman from foreign attack triggers defense treaty with US,Bea Cupin,2024,True,False,False,False
https://www.rappler.com/philippines/video-marcos-jr-independence-day-ceremony-2024/,WATCH: Marcos leads 2024 Philippine Independence Day rites in Manila,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/marcos-says-government-eyes-shift-old-academic-calendar-2025/,Marcos says gov’t eyeing shift to old academic calendar in 2025,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/marcos-administration-proposal-confidential-intelligence-funds-op-ovp-deped-2024/,"Marcos admin wants P10.1 billion in confidential, intel funds for 2024",Dwight de Leon,2023,True,False,False,False
https://www.rappler.com/newsbreak/iq/143592-ferdinand-marcos-world-war-ii-medals-explained/,What’s the issue with Marcos’ World War II ‘medals’ again?,Michael Bueza,2016,True,False,False,False
https://www.rappler.com/philippines/marcos-government-return-icc-under-study/,Marcos says Philippines’ return to ICC ‘under study’,Jairo Bolledo,2023,True,False,False,False
https://www.rappler.com/business/marcos-jeepney-consolidation-deadline-april-30-2024-final/,Marcos: Jeepney consolidation deadline on April 30 is final,Lance Spencer Yu,2024,True,False,False,False
https://www.rappler.com/philippines/marcos-jr-jeepney-modernization-implemented-different-way/,Marcos: Jeepney modernization needs to be implemented ‘in a different way’,Bea Cupin,2023,True,False,False,False
https://www.rappler.com/philippines/marcos-jr-lifts-price-ceiling-rice/,Marcos lifts price cap on rice,Dwight de Leon,2023,True,False,False,False
https://www.rappler.com/philippines/video-goodbye-uniteam-sara-duterte-resigns-marcos-cabinet/,"Goodbye, Uniteam: VP Sara Duterte resigns from the Marcos Cabinet",Rappler.com,2024,True,True,False,False
https://www.rappler.com/philippines/elections/ferdinand-marcos-jr-benefited-facebook-disinformation-study/,Marcos Jr. benefited from Facebook – study,Rochel Ellen Bernido,2022,True,False,False,False
https://www.rappler.com/voices/imho/opinion-why-does-bongbong-marcos-get-so-much-support/,[OPINION] Why does Bongbong Marcos get so much support?,Ted Tuvera,2021,True,False,False,True
https://www.rappler.com/philippines/marcos-signs-new-philippine-passport-act-allowing-online-applications/,Marcos signs ‘New Philippine Passport Act’ allowing online applications,Lance Spencer Yu,2024,True,False,False,False
https://www.rappler.com/business/marcos-jr-faces-bitter-economics-sugar-imports-philippines/,Marcos faces bitter economics of Philippines’ sugar imports,Ralf Rivas,2022,True,False,False,False
https://www.rappler.com/philippines/marcos-designates-carlito-galvez-jr-peace-summit-ukraine-june-2024/,"Marcos not going to Switzerland, designates Galvez to attend peace summit on Ukraine",Dwight de Leon,2024,True,False,False,False
